ticket_nro,fecha_hora,dni_cliente,sucursal,empleado_id,metodo_pago_id,canal_venta,total_venta,campania_id
1,2025-10-16 03:48:00,16859215,Centro,2,3,Presencial,161999.0,
2,2025-03-08 11:36:00,26373518,Norte,4,2,Presencial,41361.66,
3,2025-09-10 09:01:00,25636276,Tienda Online,9,1,Web,135522.49,
4,2024-03-22 07:56:00,20256869,Shopping,7,4,Presencial,65417.32000000001,
5,2025-11-30 22:07:00,40793026,Tienda Online,9,5,Web,65670.22,
6,2024-02-27 07:49:00,34268915,Centro,2,3,Presencial,157387.13,
7,2025-03-14 19:55:00,32199028,Centro,1,3,Presencial,17230.04,4
8,2025-11-27 14:24:00,25534107,Shopping,7,1,Presencial,246046.74,4
9,2025-06-03 03:37:00,16744926,Tienda Online,9,3,Web,66708.13,
10,2025-05-15 00:39:00,12108087,Tienda Online,10,3,Web,106079.13,
11,2024-03-28 16:35:00,16381102,Tienda Online,9,1,Web,100113.16,
12,2025-09-13 14:26:00,18889009,Tienda Online,9,5,Web,130467.98000000001,
13,2024-09-10 07:40:00,30028290,Shopping,7,3,Presencial,166147.59,
14,2024-10-12 22:50:00,29812600,Shopping,7,2,Presencial,51440.67,
15,2025-11-05 14:42:00,14887419,Shopping,7,4,Presencial,32677.97,
16,2024-04-21 08:29:00,31231220,Centro,1,2,Presencial,69021.14,
17,2025-07-17 03:20:00,31169695,Tienda Online,9,5,Web,62540.119999999995,
18,2025-02-14 02:00:00,30301581,Norte,6,4,Presencial,157526.66999999998,
19,2024-10-30 07:25:00,27906335,Tienda Online,9,5,Web,94772.53,
20,2025-06-04 02:44:00,39406068,Shopping,7,1,Presencial,146499.25,
21,2025-08-01 17:50:00,39672841,Shopping,7,3,Presencial,78062.24,
22,2024-03-15 00:19:00,44670267,Tienda Online,9,5,Web,41361.66,
23,2024-05-15 11:54:00,39766964,Tienda Online,10,1,Web,91716.91,
24,2024-11-02 22:38:00,22313673,Centro,2,2,Presencial,100113.16,
25,2024-09-27 17:15:00,18818897,Tienda Online,9,3,Web,33144.89,
26,2024-10-10 01:30:00,28456905,Tienda Online,10,3,Web,66289.78,
27,2024-01-10 03:49:00,20256869,Norte,5,2,Presencial,175388.6,
28,2025-11-13 03:30:00,26431104,Tienda Online,10,5,Web,192240.03,
29,2024-04-20 13:03:00,34268915,Norte,6,4,Presencial,111885.62,
30,2024-10-12 11:59:00,17728908,Tienda Online,10,4,Web,32320.56,
31,2024-09-24 06:05:00,11310767,Norte,6,1,Presencial,97942.65000000001,
32,2024-02-15 14:53:00,17471301,Tienda Online,9,5,Web,131320.47,
33,2024-05-07 10:15:00,30549138,Tienda Online,10,3,Web,136692.22999999998,
34,2025-11-01 10:59:00,14627608,Centro,1,4,Presencial,73682.22,
35,2024-08-28 22:57:00,28011719,Tienda Online,9,2,Web,32677.97,
36,2025-05-01 20:51:00,21989124,Shopping,7,4,Presencial,141009.91,
37,2024-04-19 14:30:00,23663184,Tienda Online,10,2,Web,33144.89,
38,2024-05-04 15:34:00,36775919,Tienda Online,10,4,Web,136368.18,
39,2025-10-03 08:09:00,37668609,Norte,4,4,Presencial,72788.46,
40,2024-12-04 18:31:00,14684875,Norte,6,4,Presencial,185713.68,
41,2025-03-05 18:22:00,12409147,Tienda Online,10,5,Web,49010.770000000004,4
42,2024-06-18 15:57:00,30301581,Norte,5,5,Presencial,174000.15,
43,2024-12-11 12:56:00,20254587,Centro,1,4,Presencial,33144.89,
44,2024-12-24 07:39:00,30028290,Tienda Online,9,1,Web,68006.18,
45,2025-11-16 03:54:00,25145607,Norte,6,2,Presencial,59647.75,4
46,2024-04-20 19:45:00,20714555,Norte,6,3,Presencial,73682.22,
47,2024-11-04 23:21:00,16381102,Tienda Online,9,1,Web,102603.73000000001,
48,2025-03-06 16:43:00,24377188,Tienda Online,10,4,Web,73886.99,
49,2025-07-05 16:30:00,32199028,Tienda Online,10,4,Web,94567.82,
50,2024-11-28 06:12:00,16744926,Norte,6,2,Presencial,127590.78,
51,2024-03-28 08:14:00,36669833,Centro,1,4,Presencial,123751.42,
52,2025-01-12 16:09:00,24697145,Shopping,7,5,Presencial,94860.68000000001,
53,2024-11-19 04:04:00,36669833,Shopping,7,2,Presencial,133936.53999999998,
54,2024-07-17 10:06:00,40632634,Centro,2,3,Presencial,115944.12,
55,2025-05-17 03:30:00,38153498,Norte,6,5,Presencial,183514.97,
56,2024-03-07 13:40:00,18494838,Shopping,7,1,Presencial,63392.61,
57,2024-09-11 04:02:00,17245195,Tienda Online,9,4,Web,197742.92,
58,2024-04-11 07:05:00,13463607,Centro,2,2,Presencial,67646.76,
59,2025-04-06 23:31:00,29302634,Centro,1,4,Presencial,96516.24,
60,2025-03-11 03:55:00,27785377,Tienda Online,10,2,Web,65203.3,
61,2024-10-22 14:59:00,12667017,Tienda Online,10,4,Web,101903.88,
62,2024-11-26 20:36:00,26373518,Shopping,7,1,Presencial,94386.96,
63,2024-10-11 06:11:00,44107468,Tienda Online,10,4,Web,91716.91,
64,2025-05-22 09:50:00,12645604,Tienda Online,9,4,Web,123936.84000000001,
65,2025-09-29 17:00:00,42528458,Tienda Online,9,4,Web,95006.52,
66,2024-11-14 18:48:00,28669062,Centro,2,5,Presencial,130930.9,
67,2025-05-09 16:07:00,22960720,Norte,4,4,Presencial,162200.85,
68,2024-09-30 00:05:00,41561757,Tienda Online,10,3,Web,70930.89,
69,2025-07-10 12:52:00,26127866,Tienda Online,9,3,Web,146960.88,
70,2025-06-22 15:35:00,28669062,Shopping,7,2,Presencial,33144.89,
71,2024-09-28 11:33:00,17019579,Tienda Online,10,1,Web,98348.19,
72,2024-08-28 21:32:00,24627352,Tienda Online,10,2,Web,33144.89,
73,2024-04-12 15:08:00,36200760,Tienda Online,9,3,Web,106207.55,
74,2025-08-02 23:16:00,11730076,Centro,1,2,Presencial,188672.76,
75,2025-11-24 18:39:00,16504916,Norte,5,1,Presencial,106412.32,
76,2025-01-02 19:37:00,35526938,Shopping,7,3,Presencial,128255.48000000001,
77,2025-05-23 09:46:00,16898363,Tienda Online,9,5,Web,63233.100000000006,
78,2025-10-23 01:20:00,23222803,Norte,5,4,Presencial,106002.78,
79,2024-06-28 06:51:00,30090967,Tienda Online,10,5,Web,227078.90000000002,
80,2025-04-24 02:34:00,42659965,Tienda Online,10,2,Web,154721.5,
81,2025-09-26 19:09:00,30196404,Centro,1,5,Presencial,103628.36,
82,2025-11-17 23:46:00,10949480,Shopping,7,4,Presencial,142908.13,
83,2025-07-11 22:00:00,20254587,Centro,2,1,Presencial,122198.18,
84,2024-08-26 11:12:00,27715659,Centro,2,5,Presencial,175511.78,
85,2024-01-17 05:56:00,31625779,Norte,5,1,Presencial,33144.89,
86,2025-04-04 12:21:00,22588451,Shopping,7,5,Presencial,167485.46000000002,
87,2024-05-31 02:14:00,38396306,Tienda Online,10,3,Web,131755.22999999998,
88,2025-04-07 07:47:00,34764543,Tienda Online,10,3,Web,147261.58000000002,
89,2025-01-16 04:26:00,25442983,Shopping,7,1,Presencial,41361.66,
90,2025-11-12 14:26:00,11730076,Tienda Online,10,1,Web,88188.85,4
91,2025-03-15 19:08:00,18293899,Tienda Online,9,5,Web,139838.24,4
92,2025-03-05 15:29:00,24627352,Shopping,7,2,Presencial,143297.39,4
93,2024-04-23 09:40:00,27785377,Shopping,7,5,Presencial,41361.66,
94,2025-09-05 01:52:00,15834366,Centro,2,2,Presencial,104045.01999999999,
95,2024-12-28 02:27:00,25145607,Norte,4,1,Presencial,115248.65000000001,
96,2025-02-18 00:42:00,41561757,Tienda Online,10,2,Web,97881.27,
97,2024-03-21 13:30:00,30196404,Centro,2,3,Presencial,200958.26,
98,2024-06-26 20:33:00,12807087,Shopping,7,1,Presencial,123103.70000000001,
99,2025-10-04 10:47:00,16604711,Norte,5,4,Presencial,106717.6,
100,2025-10-22 03:04:00,32132749,Norte,5,5,Presencial,168579.23,
101,2024-12-17 02:52:00,12409147,Shopping,7,2,Presencial,128858.06,
102,2025-09-04 01:47:00,34651431,Centro,1,3,Presencial,99437.7,
103,2025-11-02 23:50:00,41690133,Shopping,7,4,Presencial,83733.07,
104,2025-06-04 12:21:00,32833825,Centro,1,3,Presencial,124715.95999999999,
105,2025-07-06 17:58:00,20915531,Tienda Online,9,3,Web,185136.21000000002,
106,2025-04-17 09:37:00,32899636,Centro,2,5,Presencial,149537.63,
107,2024-04-03 07:34:00,17245195,Tienda Online,9,4,Web,127540.66,
108,2024-04-11 22:11:00,44304306,Norte,6,2,Presencial,101510.49,
