ticket_nro,fecha_hora,dni_cliente,sucursal,canal,empleado_id,metodo_pago_id,sku_variante,cantidad,costo_unitario_historico,precio_unitario_cobrado,promocion_id,subtotal
1,2025-10-16 03:48:00,16859215,Shopping,Presencial,4,3,GOR-ROJ-unico,1,11486.7,28716.74,,28716.74
2,2025-08-27 14:24:00,35403012,Shopping,Presencial,2,1,REM-CEL-XXL,1,13673.12,34182.8,,34182.8
2,2025-08-27 14:24:00,35403012,Shopping,Presencial,2,1,GOR-GRI-S,1,11486.7,28716.74,,28716.74
2,2025-08-27 14:24:00,35403012,Shopping,Presencial,2,1,CAM-BLA-L,1,14680.23,36700.58,,36700.58
2,2025-08-27 14:24:00,35403012,Shopping,Presencial,2,1,JOG-ÍND-XL,1,16544.66,41361.66,,41361.66
2,2025-08-27 14:24:00,35403012,Shopping,Presencial,2,1,CIN-MAR-M,1,13257.96,33144.89,,33144.89
3,2024-06-12 23:49:00,25519695,Norte,Presencial,5,3,REM-BLA-XL,1,13071.19,32677.97,,32677.97
4,2025-01-02 11:44:00,29955030,Tienda Online,Web,1,3,MUS-AZU-unico,2,12928.22,32320.56,,64641.12
4,2025-01-02 11:44:00,29955030,Tienda Online,Web,1,3,JOG-CEL-L,1,16544.66,41361.66,,41361.66
4,2025-01-02 11:44:00,29955030,Tienda Online,Web,1,3,CHU-VER-S,1,13529.35,33823.38,,33823.38
4,2025-01-02 11:44:00,29955030,Tienda Online,Web,1,3,SWE-MAR-XXL,1,13010.13,32525.33,,32525.33
4,2025-01-02 11:44:00,29955030,Tienda Online,Web,1,3,JOG-CEL-XL,1,16544.66,41361.66,,41361.66
5,2024-03-12 01:33:00,21756850,Tienda Online,Web,5,2,REM-BLA-S,1,13071.19,32677.97,,32677.97
5,2024-03-12 01:33:00,21756850,Tienda Online,Web,5,2,CAM-CEL-S,1,14680.23,36700.58,,36700.58
6,2025-01-08 05:33:00,44304306,Tienda Online,Web,4,3,SWE-AZU-S,1,13010.13,32525.33,,32525.33
7,2025-06-30 08:21:00,37317331,Shopping,Presencial,7,4,JEA-NEG-L,1,8748.58,21871.44,,21871.44
7,2025-06-30 08:21:00,37317331,Shopping,Presencial,7,4,CIN-TUR-unico,1,13257.96,33144.89,,33144.89
7,2025-06-30 08:21:00,37317331,Shopping,Presencial,7,4,JEA-NEG-XL,1,8748.58,21871.44,,21871.44
7,2025-06-30 08:21:00,37317331,Shopping,Presencial,7,4,CIN-MAR-M,1,13257.96,33144.89,,33144.89
7,2025-06-30 08:21:00,37317331,Shopping,Presencial,7,4,CHU-ÍND-unico,1,13529.35,33823.38,,33823.38
8,2025-08-03 10:44:00,20565131,Tienda Online,Web,7,4,MUS-CEL-S,1,12928.22,32320.56,,32320.56
8,2025-08-03 10:44:00,20565131,Tienda Online,Web,7,4,CHU-ÍND-XXL,1,13529.35,33823.38,,33823.38
